relationshipspairampspecies,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Cardassian & Human,36.5,38.9,12.6,9.4,2.6
Human & Human,41.199999999999996,36.3,9.9,7.1,5.5
Human & Trill,35.6,41.6,11.4,6.7,4.7
Cardassian & Cardassian,48.1,30.2,14.2,7.5,0.0
Bajoran & Trill,48.5,35.6,8.9,2.0,5.0
Bajoran & Human,48.0,38.800000000000004,6.1,5.1,2.0
Cardassian & unknown,43.2,36.4,8.0,10.2,2.3
Human & unknown,52.6,29.5,5.1,10.299999999999999,2.6
unknown & unknown,38.2,40.8,17.1,2.6,1.3
Changeling & Ferangi,53.1,28.1,6.2,3.1,9.4
Betazoid & Human,55.800000000000004,32.7,5.800000000000001,5.800000000000001,0.0
Bajoran & Cardassian,32.0,30.0,20.0,18.0,0.0
Cardassian & Multiple,40.8,38.800000000000004,10.2,10.2,0.0
Ferangi & Human,52.2,34.8,10.9,0.0,2.1999999999999997
Betazoid & Trill,46.5,41.9,4.7,2.3,4.7
Bajoran & Changeling,40.5,35.699999999999996,9.5,7.1,7.1
Cardassian & Changeling,38.1,23.799999999999997,16.7,11.899999999999999,9.5
Trill & unknown,46.9,15.6,31.2,6.2,0.0
Bajoran & Betazoid,66.7,23.3,3.3000000000000003,0.0,6.7
Cardassian & Vorta,16.7,40.0,16.7,20.0,6.7
Bajoran & unknown,69.19999999999999,26.900000000000002,3.8,0.0,0.0
Ferangi & Trill,36.4,31.8,13.600000000000001,13.600000000000001,4.5
Cardassian & Trill,45.5,13.600000000000001,22.7,18.2,0.0
Changeling & unknown,42.9,33.300000000000004,14.299999999999999,0.0,9.5
Ferangi & Ferangi,52.400000000000006,33.300000000000004,14.299999999999999,0.0,0.0
Bajoran & Multiple,40.0,55.00000000000001,5.0,0.0,0.0
Changeling & Vorta,61.1,27.800000000000004,11.1,0.0,0.0
Klingon & Trill,64.7,29.4,5.8999999999999995,0.0,0.0
Trill & Trill,47.099999999999994,23.5,17.599999999999998,0.0,11.799999999999999
Betazoid & unknown,53.800000000000004,38.5,7.7,0.0,0.0
Betazoid & Changeling,38.5,53.800000000000004,7.7,0.0,0.0
Cardassian & Ferangi,30.8,53.800000000000004,7.7,7.7,0.0
Bajoran & Bajoran,46.2,46.2,7.7,0.0,0.0
Betazoid & Cardassian,69.19999999999999,23.1,0.0,7.7,0.0
Ferangi & unknown,45.5,36.4,18.2,0.0,0.0
Human & Klingon,36.4,18.2,9.1,18.2,18.2
Human & Human & Human,45.5,45.5,9.1,0.0,0.0
Betazoid & Ferangi,50.0,10.0,30.0,10.0,0.0
Bajoran & Ferangi,33.300000000000004,44.4,22.2,0.0,0.0
Human & Multiple,33.300000000000004,44.4,0.0,22.2,0.0
Vorta & Vorta,0.0,50.0,25.0,12.5,12.5
Klingon & unknown,57.099999999999994,28.599999999999998,0.0,0.0,14.299999999999999
Changeling & Human,42.9,42.9,14.299999999999999,0.0,0.0
Changeling & Trill,14.299999999999999,57.099999999999994,28.599999999999998,0.0,0.0
Bajoran & Cardassian & Cardassian,14.299999999999999,85.7,0.0,0.0,0.0
Vorta & unknown,0.0,60.0,40.0,0.0,0.0
Trill & Vorta,40.0,20.0,40.0,0.0,0.0
Trill & sy,25.0,50.0,0.0,0.0,25.0
Multiple & unknown,33.300000000000004,66.7,0.0,0.0,0.0
Cardassian & Human & Trill,66.7,33.300000000000004,0.0,0.0,0.0
Changeling & Klingon,100.0,0.0,0.0,0.0,0.0
Cardassian & Klingon,100.0,0.0,0.0,0.0,0.0
Human & Vorta,33.300000000000004,66.7,0.0,0.0,0.0
Changeling & Changeling,66.7,0.0,33.300000000000004,0.0,0.0
Ferangi & Klingon,50.0,0.0,50.0,0.0,0.0
Human & sy,0.0,100.0,0.0,0.0,0.0
Cardassian & Human & unknown,100.0,0.0,0.0,0.0,0.0
Klingon & Trill & unknown,100.0,0.0,0.0,0.0,0.0
Cardassian & Cardassian & Human,100.0,0.0,0.0,0.0,0.0
Human & Human & Human & Human & Human,0.0,100.0,0.0,0.0,0.0
Bajoran & Human & Human & Trill,0.0,0.0,0.0,100.0,0.0
Betazoid & Ferangi & Human,0.0,100.0,0.0,0.0,0.0
Ferangi & Human & Multiple,0.0,100.0,0.0,0.0,0.0
Betazoid & sy,0.0,100.0,0.0,0.0,0.0
Betazoid & Klingon,100.0,0.0,0.0,0.0,0.0
Klingon & unknown & unknown,100.0,0.0,0.0,0.0,0.0
Jem'Hadar & Vorta,0.0,100.0,0.0,0.0,0.0
Bajoran & Betazoid & unknown,100.0,0.0,0.0,0.0,0.0
Cardassian & Changeling & Klingon,100.0,0.0,0.0,0.0,0.0
Cardassian & fc,0.0,0.0,100.0,0.0,0.0
sy & unknown,0.0,100.0,0.0,0.0,0.0
Betazoid & Vulcan,0.0,100.0,0.0,0.0,0.0
Betazoid & Multiple,100.0,0.0,0.0,0.0,0.0
Cardassian & Human & unknown & unknown,0.0,0.0,100.0,0.0,0.0
Multiple & Trill,100.0,0.0,0.0,0.0,0.0
Bajoran & Trill & unknown,100.0,0.0,0.0,0.0,0.0
Human & Human & unknown,0.0,100.0,0.0,0.0,0.0
Ferangi & Vorta,100.0,0.0,0.0,0.0,0.0
Multiple & Vorta,100.0,0.0,0.0,0.0,0.0
Ferangi & Human & unknown,0.0,100.0,0.0,0.0,0.0
Cardassian & unknown & unknown,0.0,100.0,0.0,0.0,0.0
Cardassian & Changeling & Human,100.0,0.0,0.0,0.0,0.0
Cardassian & Cardassian & Human & unknown,100.0,0.0,0.0,0.0,0.0
Cardassian & Changeling & unknown,100.0,0.0,0.0,0.0,0.0
Klingon & Klingon,0.0,0.0,0.0,100.0,0.0
Changeling & Ferangi & Human,100.0,0.0,0.0,0.0,0.0
Total,42.6,35.9,11.3,7.1,3.1
