relationshipspairslashgender,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Male/Male,1391,1654,796,1136,197,5174
Female/Male,397,386,166,211,48,1208
Male/unknown,143,194,131,200,22,690
Female/Female,261,259,71,63,11,665
unknown/unknown,67,115,69,59,14,324
Female/unknown,52,55,24,29,5,165
Male/Male/Male,26,16,14,17,1,74
Female/Male/Male,16,11,4,20,2,53
Male/Male/unknown,4,12,3,24,0,43
Female/Male/unknown,14,12,3,5,3,37
Female/Female/Female,5,4,3,0,0,12
Female/Female/Male,2,0,3,2,1,8
Male/unknown/unknown,0,4,2,2,0,8
Female/Other,1,2,1,0,0,4
Male/Other,0,4,0,0,0,4
Male/Male/Male/unknown,0,0,2,2,0,4
Female/Female/unknown,0,1,1,0,1,3
Female/Female/Male/unknown,1,0,0,1,0,2
Other/unknown,0,0,1,1,0,2
Female/unknown/unknown,2,0,0,0,0,2
Female/Female/Female/Female/Male/Male/Male/Male/Male/Male/Male/Male/Male/Male/Male/unknown,0,1,0,0,0,1
Male/Male/Male/Other,0,0,0,1,0,1
Female/Female/Female/Female/Male/Male/Male/Male/Male/Male/Male/Male/Male/unknown,0,1,0,0,0,1
Female/Female/Male/Male,0,0,0,1,0,1
Female/Male/Male/Other,0,0,0,0,1,1
Female/Male/unknown/unknown,0,1,0,0,0,1
Male/Male/unknown/unknown,0,1,0,0,0,1
Male/Male/Male/unknown/unknown,0,1,0,0,0,1
Female/Female/Female/Female,0,1,0,0,0,1
Female/Male/Male/unknown,0,1,0,0,0,1
Male/Male/Male/Male,0,1,0,0,0,1
Total,2382,2737,1294,1774,306,8493
