Male/Male,5174
Female/Male,1208
Male/unknown,690
Female/Female,665
unknown/unknown,324
Female/unknown,165
Male/Male/Male,74
Female/Male/Male,53
Male/Male/unknown,43
Female/Male/unknown,37
Female/Female/Female,12
Female/Female/Male,8
Male/unknown/unknown,8
Female/Other,4
Male/Other,4
Male/Male/Male/unknown,4
Female/Female/unknown,3
Female/Female/Male/unknown,2
Other/unknown,2
Female/unknown/unknown,2
Female/Female/Female/Female/Male/Male/Male/Male/Male/Male/Male/Male/Male/Male/Male/unknown,1
Male/Male/Male/Other,1
Female/Female/Female/Female/Male/Male/Male/Male/Male/Male/Male/Male/Male/unknown,1
Female/Female/Male/Male,1
Female/Male/Male/Other,1
Female/Male/unknown/unknown,1
Male/Male/unknown/unknown,1
Male/Male/Male/unknown/unknown,1
Female/Female/Female/Female,1
Female/Male/Male/unknown,1
Male/Male/Male/Male,1
