relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Elim Garak/Julian Bashir,28.799999999999997,32.5,15.4,19.7,3.5999999999999996
Jadzia Dax/Kira Nerys,40.400000000000006,40.1,8.9,8.9,1.7999999999999998
Odo/Quark,25.3,38.7,12.6,21.5,1.9
Kira Nerys/Odo,41.0,34.8,9.4,10.2,4.5
Jadzia Dax/Worf,44.4,31.900000000000002,6.9,9.700000000000001,6.9
Julian Bashir/non-cast,21.7,23.799999999999997,26.6,25.2,2.8000000000000003
Keiko O'Brien/Miles O'Brien,30.4,48.0,8.0,9.6,4.0
Corat Damar/Weyoun,10.5,29.799999999999997,16.900000000000002,41.099999999999994,1.6
Elim Garak/Kelas Parmak,32.2,27.1,19.5,19.5,1.7000000000000002
Ezri Dax/Julian Bashir,32.1,28.599999999999998,15.2,17.9,6.2
Julian Bashir/Miles O'Brien,18.4,35.699999999999996,12.2,26.5,7.1
Elim Garak/non-cast,27.3,13.600000000000001,25.0,30.7,3.4000000000000004
Jake Sisko/Nog,36.9,38.1,4.8,16.7,3.5999999999999996
Ezri Dax/Kira Nerys,31.900000000000002,37.5,23.599999999999998,6.9,0.0
Jadzia Dax/Lenara Kahn,59.699999999999996,31.3,4.5,1.5,3.0
Benjamin Sisko/Kasidy Yates,59.0,23.0,6.6000000000000005,8.200000000000001,3.3000000000000003
Kira Nerys/Skrain Dukat,13.600000000000001,18.6,18.6,49.2,0.0
Skrain Dukat/non-cast,7.1,14.299999999999999,14.299999999999999,64.3,0.0
Elim Garak/Julian Bashir/Kelas Parmak,40.400000000000006,21.3,21.3,14.899999999999999,2.1
Jadzia Dax/Julian Bashir,42.9,16.7,21.4,11.899999999999999,7.1
Benjamin Sisko/Kira Nerys,64.3,19.0,11.899999999999999,2.4,2.4
Elim Garak/Skrain Dukat,2.6,15.4,20.5,61.5,0.0
Elim Garak/Tora Ziyal,41.699999999999996,25.0,16.7,16.7,0.0
Corat Damar/Kira Nerys,17.1,28.599999999999998,5.7,37.1,11.4
Kira Nerys/non-cast,23.5,41.199999999999996,17.599999999999998,8.799999999999999,8.799999999999999
Skrain Dukat/Tora Naprem,18.2,42.4,27.3,12.1,0.0
Weyoun/non-cast,9.1,18.2,27.3,39.4,6.1
Keiko O'Brien/Kira Nerys/Miles O'Brien,42.4,36.4,6.1,9.1,6.1
Benjamin Sisko/Julian Bashir,6.1,30.3,42.4,21.2,0.0
Elim Garak/Odo,18.2,12.1,6.1,0.0,63.6
Average (of top 30),29.9,32.300000000000004,14.7,19.3,3.8
